gene,alias
5'URS,hLCR
A-GAMMA3'E,A-gamma-e
A1BG,A1B|ABG|GAB|HYST2477
A1BG-AS1,A1BG-AS|A1BGAS|NCRNA00181
A1CF,ACF|ACF64|ACF65|APOBEC1CF|ASP
A2M,A2MD|CPAMD5|FWP007|S863-7
A2ML1,CPAMD9|p170
A2MP1,A2MP
A3GALT2,A3GALT2P|IGB3S|IGBS3S
A4GALT,A14GALT|A4GALT1|Gb3S|P(k)|P1|P1PK|PK
A4GNT,alpha4GnT
AA06,AA02|AA04|AA05
AAA1,AAA
AAAS,AAA|AAASb|ADRACALA|ADRACALIN|ALADIN|GL003
AACS,ACSF1|SUR-5
AACSP1,AACSL
AADAC,CES5A1|DAC
AADAT,KAT2|KATII|KYAT2
AAED1,C9orf21
AAGAB,KPPP1|PPKP1|PPKP1A|p34
AAMDC,C11orf67|CK067|PTD015
AANAT,DSPS|SNAT
AAR2,C20orf4|CGI-23
AARD,C8orf85
AARS,CMT2N|EIEE29
AARS2,AARSL|COXPD8|LKENP|MT-ALARS|MTALARS
AASDH,ACSF4|LYS2|NRPS1098|NRPS998
AASDHPPT,AASD-PPT|ACPS|CGI-80|LYS2|LYS5
AASS,LKR/SDH|LKRSDH|LORSDH
AAT1,FAA1
AAT2,FAA2
AATF,BFR2|CHE-1|CHE1|DED
AATK,AATYK|AATYK1|LMR1|LMTK1|PPP1R77|p35BP
AAVS1,AAV
ABALON,INXS
ABAT,GABA-AT|GABAT|NPD009
ABCA1,ABC-1|ABC1|CERP|HDLDT1|TGD
ABCA10,EST698739
ABCA11P,ABCA11|EST1133530
ABCA12,ARCI4A|ARCI4B|ICR2B|LI2
ABCA17P,ABCA17
ABCA2,ABC2
ABCA3,ABC-C|ABC3|EST111653|LBM180|SMDP3
ABCA4,ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1
ABCA5,ABC13|EST90625
ABCA6,EST155051
ABCA7,ABCA-SSN|ABCX|AD9
ABCA9,EST640918
ABCB1,ABC20|CD243|CLCS|GP170|MDR1|P-GP|PGY1
ABCB10,EST20237|M-ABC2|MTABC2
ABCB10P1,ABCB10P|ABCB10P2|M-ABC2|MABC2
ABCB11,ABC16|BRIC2|BSEP|PFIC-2|PFIC2|PGY4|SPGP
ABCB4,ABC21|GBD1|ICP3|MDR2|MDR2/3|MDR3|PFIC-3|PGY3
ABCB5,ABCB5alpha|ABCB5beta|EST422562
ABCB6,ABC|LAN|MTABC3|PRP|umat
ABCB7,ABC7|ASAT|Atm1p|EST140535
ABCB8,EST328128|M-ABC1|MABC1
ABCB9,EST122234|TAPL
ABCC1,ABC29|ABCC|GS-X|MRP|MRP1
ABCC10,EST182763|MRP7|SIMRP7
ABCC11,EWWD|MRP8|WW
ABCC12,MRP9
ABCC13,ABCC13P|C21orf73|PRED6
ABCC2,ABC30|CMOAT|DJS|MRP2|cMRP
ABCC3,ABC31|EST90757|MLP2|MOAT-D|MRP3|cMOAT2
ABCC4,MOAT-B|MOATB|MRP4
ABCC5,ABC33|EST277145|MOAT-C|MOATC|MRP5|SMRP|pABC11
ABCC6,ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7
ABCC8,ABC36|HHF1|HI|HRINS|MRP8|PHHI|SUR|SUR1|SUR1delta2|TNDM2
ABCC9,ABC37|ATFB12|CANTU|CMD1O|SUR2
ABCD1,ABC42|ALD|ALDP|AMN
ABCD1P2,bA453N3.6
ABCD1P4,ALD22Q11
ABCD2,ABC39|ALDL1|ALDR|ALDRP|hALDR
ABCD3,ABC43|CBAS5|PMP70|PXMP1|ZWS2
ABCD4,ABC41|EST352188|MAHCJ|P70R|P79R|PMP69|PXMP1L
ABCE1,ABC38|OABP|RLI|RLI1|RNASEL1|RNASELI|RNS4I
ABCF1,ABC27|ABC50
ABCF2,ABC28|EST133090|HUSSY-18|HUSSY18
ABCF3,EST201864
ABCG1,ABC8|WHITE1
